Code,Title,Description,Link
14110,Survey interviewers and statistical clerks,"Survey interviewers contact individuals to gather information for market research, public opinion polls or election and census enumeration. Statistical clerks code and compile interview and other data into reports, lists, directories and other documents. They are employed by market research and polling firms, government departments and agencies, utility companies, contact centres and other establishments. This unit group also includes clerks who observe and record information on traffic flow.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=vdPmy%2FNWEU4zCcKToAUdHbNGZmHB0CF4WKPgM8g2Myc%3D
14111,Data entry clerks,"Data entry clerks input coded, statistical, financial and other information into computerized databases, spreadsheets or other templates using a keyboard, mouse, or optical scanner, speech recognition software or other data entry tools. They are employed in the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=QecyfkcvzilGi%2FJhz%2FGiCe9wcoGHi5Hnsvm5sJjydU4%3D
14112,Desktop publishing operators and related occupations,"Desktop publishing operators and workers in related occupations use computers to enter copy into a typesetting system or operate typesetting output equipment to produce text that is ready to print. They are employed by firms that specialize in typesetting, commercial printing companies, publishing and printing companies and various establishments in the public and private sectors that have in-house printing departments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=728N%2BfkaqQz84pnHv7RMNVCJy5tqRyJTD6RM7DRnPSs%3D
14200,Accounting and related clerks,"Accounting and related clerks calculate, prepare and process bills, invoices, accounts payable and receivable, budgets and other financial records according to established procedures. They are employed throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=U4px40TCNV1Crq0FXUQNM6%2BdlmNdRBOyh9O5WEE8dsY%3D
14201,"Banking, insurance and other financial clerks","Banking, insurance and other financial clerks compile, process and maintain banking, insurance and other financial information. They are employed by banks, credit companies, private and public insurance establishments, investment firms and other financial establishments throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=3%2FhxZZ%2FGe1fr1%2BT3DrIIah%2Fwihzx5VZKs3%2FatqLdIbc%3D
14202,Collection clerks,"Collection clerks collect payments on overdue accounts and bad cheques and locate debtors to make collection arrangements. They are employed by collection agencies, utility companies, department stores, loan companies, banks and credit unions, and by financial and licensing departments within governments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=jg7IijkN6TmARv%2BYUiryFKxtzPB9JE22l8mpIbUyYls%3D
14300,Library assistants and clerks,"Library assistants and clerks issue and receive library materials, sort and shelve books and provide general library information to users. They also perform clerical functions. Library clerks are employed by libraries or other establishments with library services.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Sx25ifYgOa%2BCH3ZZ9sfOiZAXy0XVG7dsAB68tmHc4kY%3D
14301,"Correspondence, publication and regulatory clerks","Correspondence, publication and regulatory clerks write correspondence, proofread material for accuracy, compile material for publication, verify, record and process forms and documents, such as applications, licences, permits, contracts, registrations and requisitions, and perform other related clerical duties in accordance with established procedures, guidelines and schedules. They are employed by newspapers, periodicals, publishing firms and by establishments throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=fyiCF3LTdabt8G0H693KBD%2BJ8oV4sFrrFRPPs11tLdM%3D
14400,Shippers and receivers,"Shippers and receivers ship, receive and record the movement of parts, supplies, materials, equipment and stock to and from an establishment. They are employed in the public sector and by retail and wholesale establishments, manufacturing companies, and other commercial and industrial establishments.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=wZgqDwE17v4p4qtv6NVHZPKVMfj2J4NuqUd%2FglBFlgc%3D
14401,Storekeepers and partspersons,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. They are employed by manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, hospitals and other establishments. Apprentices are also included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=sOKpiG1Uu%2BVIheJxf8IDCyy%2F%2F4yeTrMStcyGAtqpxLc%3D
